brands,product_name,energy_kcal,sugars,calorie_category,sugar_category
Sunny Via,Sirop d'Agave,1600.0,395.0,High,High Sugar
Jiffy,Corn Muffin Mix,990.0,45.0,High,High Sugar
Pipas de la casa,Unknown,888.0,895.0,High,High Sugar
Rigoni di Asiago,Nocciolata Bianca,681.25,53.75,High,High Sugar
"Bio Village, Marque Repère",Chocolat noir dégustation 85% cacao bio,639.0,16.0,High,High Sugar
Marks & Spencer,Intense Dark Chocolate 85% Cocoa Solids,632.0,17.2,High,High Sugar
"Lindt, Lindt & Sprüngli, Lindor",Lindor Assorted Chocolate Truffles Box,631.0,40.0,High,High Sugar
"Confetteria Raffaello,Ferrero",Coco specialty,627.0,33.6,High,High Sugar
Ferrero,Raffaello,627.0,33.6,High,High Sugar
Coop,Chocolate For Change Single Origin 85% Cocoa Dark Chocolate,624.0,17.0,High,High Sugar
"Lindt, Lindt & Sprüngli",Lindor noir 70%,624.0,27.0,High,High Sugar
Ferrero,Ferrero collection,623.0,33.3,High,High Sugar
Lindt,Lindor Latte,623.0,42.0,High,High Sugar
"Lindor, Lindt, Lindt & Sprüngli",Milk Chocolate Truffles,623.0,42.0,High,High Sugar
"Lindt, Lindt & Sprüngli",Lindor Lait,623.0,42.0,High,High Sugar
Alter Eco,République Dominicaine 80%,622.0,19.0,High,High Sugar
Marks & Spencer,single origin milk chocolate,618.0,37.2,High,High Sugar
Waitrose,Milk Single Origin Chocolate,618.0,34.7,High,High Sugar
Lindt,Lindor noir,617.0,38.0,High,High Sugar
Bovetti,Pâte à tartiner bio - 40% noisettes - Chocolat Noir,616.0,30.0,High,High Sugar
Ferrero Rocher,90G FERRERO ROCHER TABLETTE LT,614.0,45.4,High,High Sugar
Hu,Hazelnut Butter Dark Chocolate,611.0,26.0,High,High Sugar
Lindt,Excellence Noir Subtil Doux 70% Cacao,610.0,29.0,High,High Sugar
Ethiquable,Chocolat noir 80% Équateur intense et floral,610.0,19.0,High,High Sugar
Lindt,150G LINDOR LAIT LINDT,610.0,44.0,High,High Sugar
Alter Eco,Chocolat noir 75% Pérou,607.0,24.0,High,High Sugar
Ferrero,Ferrero Rocher,603.0,39.9,High,High Sugar
Ferrero,Ferrero Rocher,603.0,39.9,High,High Sugar
Ferrero,Ferrero rocher,603.0,39.9,High,High Sugar
Ferrero Rocher,Unknown,603.0,39.9,High,High Sugar
FERRERO ROCHER,The golden experience,603.0,39.9,High,High Sugar
Ferrero,Ferrero Rocher,603.0,39.9,High,High Sugar
Ferrero,Ferrero T3 Rocher fergulf,603.0,39.9,High,High Sugar
"Ferrero,Ferrero Rocher,Rocher,รอชเชอร์,เฟอเรโร,เฟอเรโร รอชเชอร์",Unknown,603.0,39.9,High,High Sugar
Fin Carré,Edelrahm-Ganze-Mandel,603.0,38.8,High,High Sugar
"Côte d'Or,Mondelēz",Noir 70% Intense,601.0,28.0,High,High Sugar
Hu,Cashew Butter + Pure Vanilla Bean Dark Chocolate,601.0,27.0,High,High Sugar
Hu,Crunchy Mint dark chocolate,601.0,25.0,High,High Sugar
"J.D. Gross, Lidl",Grenada,600.0,40.0,High,High Sugar
Ferrero Rocher,Nocciola,599.0,39.6,High,High Sugar
"Carrefour, Carrefour Sélection",Chocolate negro,599.0,29.0,High,High Sugar
Sainsbury's taste the difference,Single Estate Venezuelan Dark clChocolate,599.0,27.4,High,High Sugar
"Bellarom, Fin Carre",Chocolat Lait Noisettes entières,599.0,37.9,High,High Sugar
"Deluxe, Lidl",Pistaziencreme,599.0,45.0,High,High Sugar
Rapunzel,Nuss-Nougat-Creme,598.0,40.0,High,High Sugar
Tesco,Dark milk chocolate,597.0,33.6,High,High Sugar
Hu,Almond Butter + Puffed Quinoa Dark Chocolate,595.0,27.0,High,High Sugar
Carrefour,80% cacao noir,593.0,20.0,High,High Sugar
Ethiquable,Nicaragua grand cru waslala 75%,593.0,24.0,High,High Sugar
Sainsburys Taste the Difference,Madagascan Dark Chocolate,592.0,19.9,High,High Sugar
"Nestlé,Nestlé Dessert,Tablettes",NESTLÉ DESSERT 70% Absolu 170g,592.0,26.5,High,High Sugar
Nestlé,Chocolate negro,592.0,26.5,High,High Sugar
"Nestlé, Les recettes de l'atelier, Les recettes de l'atelier les carres",NESTLE LES RECETTES DE L'ATELIER - Carrés dégustation Chocolat noir 70% - 210g,592.0,26.5,High,High Sugar
Ethiquable,Chocolat lait commerce équitable,592.0,33.0,High,High Sugar
Waitrose,"Hazelnut, Caramelised Cashew & Pistachio Milk Chocolate",591.0,35.3,High,High Sugar
"Aldi,Choceur,WIHA",Nussknacker - Vollmilchschokolade,591.0,41.0,High,High Sugar
Sainsbury's,Peruvian Dark Milk Chocolate,591.0,36.1,High,High Sugar
Heidi,Dark Intense,591.0,22.0,High,High Sugar
Waitrose & Partners,Dark Chocolate,590.0,24.0,High,High Sugar
"Maestro,Saïda",Dégustation - Chocolat Noir 72% Cacao,590.0,28.0,High,High Sugar
Novi,Fondentenero Cioccolato Extra Amaro 72%,590.0,27.0,High,High Sugar
Montezuma's,Smooth operator milk chocolate,588.0,47.0,High,High Sugar
"Lindt, Lindt & Sprüngli",Крем от тъмен шоколад,588.0,40.0,High,High Sugar
"Fin Carré, Lidl",Dunkle Schokolade mit ganzen Haselnüssen,587.0,30.0,High,High Sugar
Lindt,Les Grandes 34% Hazelnut Dark,587.0,38.0,High,High Sugar
Montezuma's,Happy Hippy 74% Cocoa Organic Orange & Geranium Dark Chocolate,587.0,25.0,High,High Sugar
Deliciously Ella,chocolate orange dipped almonds,587.0,17.7,High,High Sugar
Ethiquable,Gianduja Noir Éclats de Noisettes,586.0,32.0,High,High Sugar
Lotus,Biscoff Creamy,584.0,36.8,High,High Sugar
Lotus,Biscoff creamy,584.0,36.8,High,High Sugar
Mister Choc,Crema allo Zenzero,584.0,30.5,High,High Sugar
"Aldi,Moser Roth",Organic Peruvian 70% cocoa dark chocolate,584.0,28.0,High,High Sugar
Lotus,Spekulatius Creme,584.0,36.8,High,High Sugar
Cachet,chocolat noir uganda,583.0,19.0,High,High Sugar
Fin Carré,Whole Nut Milk Chocolate,582.0,40.2,High,High Sugar
Marks & Spencer,Dark chocolate 75%,582.0,25.5,High,High Sugar
"Fair,simplement bon et bio",Chocolat noir bio 70% cacao,581.0,31.0,High,High Sugar
Green & Black's,Black's Organic White Chocolate Bar,581.0,51.0,High,High Sugar
Sainsbury's,Dominican dark chocolate,580.0669215147,26.4,High,High Sugar
Green & Black's,Organic 70% Dark Chocolate Bar,580.0,29.0,High,High Sugar
"Côte d'Or,Mondelez International",Chocolat noir Bio 70%,580.0,29.0,High,High Sugar
Éthiquable,Haïti Grand cru Cap haïtien 72% cacaoté et fruité,580.0,27.0,High,High Sugar
"Carrefour BIO, Carrefour",Chocolat Pâtissier Noir CORSE 70% CACAO,580.0,29.0,High,High Sugar
Hacendado,Unknown,580.0,29.0,High,High Sugar
Milka,Milka Tendre au lait,579.0,51.0,High,High Sugar
"Merci, Storck",Merci : Milk Chocolate синий смотка,579.0,48.3,High,High Sugar
Unknown,Tchicolata,579.0,50.0,High,High Sugar
Poulain,180G POULAIN PRALINOISE,579.0,51.0,High,High Sugar
Moser Roth,Dark chocolate,578.0,25.7,High,High Sugar
Hacendado,Black chocolate 72% with almonds,578.0,21.0,High,High Sugar
"Côte d'Or, Mondelez, Mondelez International",Carrés Noir Noisette,578.0,40.0,High,High Sugar
RITTER SPORT,Dunkle Voll-Nuss,577.0,37.0,High,High Sugar
Aiguebelle,tentation croque lait aux noisettes suprêmes,577.0,39.0,High,High Sugar
Ferrero,Kinder Schokobons White,577.0,47.2,High,High Sugar
Co Op,Chocolat Noir IRRESISTIBLE 70%,577.0,29.0,High,High Sugar
"Ferrero, Kinder",Chocolat Kinder Chocofresh fourré lait noisette x5,577.0,39.6,High,High Sugar
Kaoka,Chocolat noir 80% - Équateur,577.0,21.0,High,High Sugar
"Carrefour BIO, Carrefour",NOIR 80% Cacao Equateur,577.0,21.0,High,High Sugar
Kinder,Schokobons,576.0,52.2,High,High Sugar
"Ferrero, Kinder, Mixte",Kinder Schoko-Bons,576.0,52.2,High,High Sugar
